uid,postnum,keywordsnum,ratio,followerscount,name
1965731015,19,2,0.105263157895,229307,专升本高升本
2513787254,1000,255,0.255,143224,时尚汽车团
2183836840,22,0,0.0,147312,迪维红卫
2499824617,806,107,0.132754342432,238781,国际热门精选
2248167924,449,47,0.104677060134,101670,宁波社区红娘
1660967887,682,473,0.693548387097,519289,IT数码学
2550140933,1026,2792,2.72124756335,311215,CCAV头条新闻
2449498192,1000,43,0.043,111299,时尚衣衣族
2013299552,397,6,0.0151133501259,100416,VANE薇娜
2499839943,803,109,0.135740971357,239888,IT数码科技前线
2684390563,1101,133,0.120799273388,312704,分享最时尚
1795207804,356,8,0.0224719101124,101256,繁华尽落xc
2499857453,876,90,0.102739726027,241181,家居生活小百科
1907022311,985,105,0.106598984772,216597,OP海贼王精选
2667652244,1010,34,0.0336633663366,568491,爱淘实惠
1996567373,1094,1502,1.37294332724,321474,中舜国际RCIF
1644246493,1000,248,0.248,168597,吃喝玩乐小队长
1812024602,1004,433,0.431274900398,202136,白银TD纸黄金-天通银-黄金财经网
1526812832,713,296,0.415147265077,222812,财税童佬
2550227544,1040,6,0.00576923076923,124092,淘宝男士用品精选
92341,1099,284,0.258416742493,238167,魔狗网
1828812447,1122,206,0.183600713012,108651,全球爆笑热门排行榜
2449569695,80,17,0.2125,118890,一川YC
1661044692,1000,86,0.086,420734,时尚潮人必修课
1275169132,580,40,0.0689655172414,105083,慕慕野
2684455850,1000,45,0.045,101936,Mr_Li-月月鸟
2550240914,492,60,0.121951219512,124183,刘墉语录
1862376041,1096,161,0.146897810219,102639,下午绿茶mak
2483138687,165,8,0.0484848484848,132240,一只毛虫爬呀爬
1929492683,1097,26,0.0237010027347,153505,Hoojay_Chan
1946274395,19,0,0.0,105601,演员孙芸
2130828633,1085,66,0.0608294930876,113006,如何穿衣打扮
2164389365,999,182,0.182182182182,117928,时尚最时尚
2639107511,1000,30,0.03,101001,挣钱儿
2231506180,353,2,0.0056657223796,125784,qq1007788887
2097290207,396,95,0.239898989899,101357,fisher1022
2611676573,590,2,0.00338983050847,105082,高端婚礼机构
1946300224,458,175,0.382096069869,151515,sun高霖
1862421230,1093,189,0.172918572736,203727,猴子的故事
1040359392,622,172,0.27652733119,103794,平安刘刚
1661116544,1099,332,0.302092811647,580486,体育聚焦
2650972851,294,36,0.122448979592,100377,马桶王子Y
2466424232,265,8,0.0301886792453,226900,胡劭劭
2466425660,637,50,0.0784929356358,242717,美食纵横天下
2466427202,200,11,0.055,223448,李赫宰全球歌迷会
2466427222,128,15,0.1171875,226120,林俊杰全球粉丝会
2466427394,467,101,0.216274089936,169694,美丽厦门鼓浪屿
2265102514,1025,81,0.0790243902439,128488,当时我振精鸟
2161494597,758,60,0.0791556728232,133618,3nth创意生活
2623466785,181,1,0.00552486187845,449783,影奢侈品复刻版
2449655162,375,53,0.141333333333,129430,潮流时尚范范
2466446442,196,31,0.158163265306,151740,Bigbang第一线
1828916125,1000,97,0.097,256986,星座爱情潮流
1677929922,66,5,0.0757575757576,111343,AP兔的老板_Lucky
2449683813,256,24,0.09375,192460,星座印象
1879258935,1096,47,0.0428832116788,221326,Soho911
2365799794,237,22,0.0928270042194,107240,水水澳洲UGG直邮
1040403852,276,7,0.0253623188406,135295,张小小小鹏
1778604893,713,139,0.194950911641,110035,张淇东
1811976261,1000,17,0.017,108182,潘池
2198037012,1104,252,0.228260869565,102978,Raffine拉妃妮
1716906113,950,50,0.0526315789474,112636,Simon爱法国菜
1778612947,32,0,0.0,101779,亂講弚
2365816334,248,3,0.0120967741935,109274,卖雪地靴的小女孩
2651035054,839,11,0.0131108462455,225531,最爱淘美包
2281937460,1032,37,0.0358527131783,101236,上海锐变贸易中心
1392749650,281,72,0.256227758007,161001,摄影师老爹
1057211417,1096,85,0.0775547445255,128007,草莓先生是小清新的名字好馋
1677972404,76,4,0.0526315789474,110399,幸福嫁日婚礼策划
1946412522,33,5,0.151515151515,100299,阳澄之王大闸蟹官方微博
1812201184,1099,189,0.171974522293,108206,我们儿都是摩羯座
1979974352,51,7,0.137254901961,327743,科學佛法
2315519304,1099,110,0.100090991811,108401,TCHIQ琪凯内衣
2651064201,1092,361,0.330586080586,118280,胜过糖尿病
2158713914,1000,11,0.011,473227,奢华汽车云集
2634296455,355,84,0.23661971831,273358,全球时尚汽车馆
1813395880,1000,170,0.17,108570,写给天秤座的心里话
1627673111,215,68,0.316279069767,188270,鼻烟客
2651104573,93,0,0.0,150395,男装搭配控
2315561563,1098,214,0.194899817851,300444,钟祖剑
2315569785,559,174,0.311270125224,113332,999Magic999
1912923971,307,58,0.188925081433,154392,偉彬I
1879370504,1000,118,0.118,105099,就网购
2231692717,82,46,0.560975609756,117052,韩帅星
1829040464,391,125,0.319693094629,112866,原色伽蓝
2634347750,1096,48,0.043795620438,113616,一句心情笔记录
2298803635,712,34,0.0477528089888,1186598,淘宝精选网店
2483354453,1080,217,0.200925925926,105697,致处女座1001封情书
2550478092,647,18,0.0278207109737,155359,皇室米兰婚纱摄影深圳总店
2500150393,776,115,0.148195876289,239212,生活小百科SHOW
1968584307,486,92,0.189300411523,205534,Minnie米妮妮
2500152261,74,0,0.0,109796,妮子美瞳Shop
2500154347,674,64,0.0949554896142,246689,淘折扣淘好店
2659247411,1000,40,0.04,122821,做漂亮女人
1627745544,739,44,0.0595399188092,111570,Magee_Meng
1292201873,1104,171,0.154891304348,454307,又又娜达人
2181408820,180,5,0.0277777777778,122431,倪泽丹
2248521055,131,3,0.0229007633588,102457,A爱要坦荡荡
1879422415,388,8,0.020618556701,112851,Laughing_lm
2651175493,366,118,0.322404371585,127457,朱义禄
2608919723,246,101,0.410569105691,105164,单联全
1644552264,590,289,0.489830508475,100493,西安王延平
2667642303,132,13,0.0984848484848,107352,上好韵
2013656470,1069,80,0.0748362956034,181925,东京派
2114320020,1093,146,0.133577310156,121195,潮流美女风尚
2684759231,145,1,0.00689655172414,151683,源视觉
2231778344,638,58,0.0909090909091,142409,谁爱大明星
2086035494,1096,241,0.219890510949,389037,游戏玩家club
1963348385,358,5,0.0139664804469,155800,踮脚张望过去的时光
2366003372,1000,162,0.162,106989,无锡皮革城
1879468775,1000,260,0.26,159177,环球时尚趣味
1661369504,1099,329,0.299363057325,382269,夏门潮生活
1661370032,1094,123,0.112431444241,233926,日常生活百科烩
2600895322,812,65,0.0800492610837,209113,芊芊婚纱摄影
2282135505,1099,303,0.275705186533,106633,武汉潮流生活
1510386910,1099,329,0.299363057325,121066,1001双高跟鞋
1778823502,343,51,0.148688046647,120834,林霖-叮当魔术师
2298924697,636,165,0.259433962264,106093,乐活乐活-乐活都市通
1697219730,799,145,0.181476846058,403977,全球热点排行精选
1697219794,1099,55,0.0500454959054,383627,全球精选热门
2011186241,19,1,0.0526315789474,110955,宅初凡
2244008327,940,467,0.496808510638,291066,我爱大重庆
1661405702,995,29,0.0291457286432,243469,母婴大百科
2668043624,1041,178,0.170989433237,114181,换一种方式对待生活
2131175030,145,37,0.255172413793,111930,拂晓_晨光
1946627322,314,28,0.0891719745223,119540,韦祚涛
1107375247,805,329,0.408695652174,115222,霏力
2639694331,71,15,0.211267605634,163231,中国街舞官网
1963418290,1000,59,0.059,107934,小女子卖艺不卖身的
1510433695,205,13,0.0634146341463,110033,潮流时尚汇馆
2349296935,865,98,0.113294797688,105480,許我给你幸福
1829208064,1098,142,0.129326047359,102682,傳世_禪隱魔心_interim微領主
2080866390,1098,221,0.201275045537,400646,美食来搜索
2114429255,1054,693,0.657495256167,140472,地产极客_GEEK
1862772091,1000,94,0.094,186312,丝袜美女集中营
1661446527,409,3,0.00733496332518,107115,杨茜茜Kathy
1879553532,1099,196,0.178343949045,253901,王晶晶BB
1661451682,996,37,0.0371485943775,146966,时尚辣妈靓宝宝
2610628651,103,18,0.174757281553,108053,美容健康学堂
1829232002,213,187,0.8779342723,103747,天冷了吃什么
1862790681,874,69,0.0789473684211,130929,思思_甜心服飾
2164789452,1000,3,0.003,452159,冲刺班高超
2651328751,1053,107,0.101614434948,119831,爱上品质家居
1762138715,1099,103,0.0937215650591,131303,做个时尚魅力女人
1913134072,609,158,0.259441707718,306266,Fashion潮男风
1778921722,679,88,0.129602356406,101680,巾帼会
538220,183,13,0.0710382513661,126767,晗馨--
2165937324,81,4,0.0493827160494,112255,锺仕松Charm
2634563301,325,45,0.138461538462,102457,E乐街
2533907000,166,18,0.10843373494,108320,上海团购节
2013821981,489,65,0.132924335378,172923,工程师阿列克
1862833407,1000,108,0.108,109099,星座小语001
1812502204,902,117,0.129711751663,119559,娱乐搞笑经典
1649853485,164,8,0.0487804878049,101608,圣云网络
2550709554,1092,194,0.177655677656,109649,魔兽世界游戏微博
1644741193,1099,325,0.295723384895,464629,全球时尚旅游资讯
1242088042,1092,85,0.0778388278388,100194,王上融-YESKY-就是PP上的小手印
2299059877,58,0,0.0,108488,型男张泽发
2667676091,234,114,0.487179487179,107628,中国名人榜
1980306387,1098,90,0.0819672131148,115081,悦丽汇优
1275668481,1132,154,0.136042402827,102410,安宁传媒
1879650544,65,2,0.0307692307692,113724,BurnIng非凡
1728667174,1098,65,0.0591985428051,135409,王洋_Yakira35
1661577843,1000,224,0.224,685588,生活百科窗口
1661578622,1098,209,0.190346083789,401950,时尚潮男邦
2181675873,305,69,0.226229508197,208383,游戏_战堂
1879699570,1000,39,0.039,134926,QQ空间心情短语
2198468542,300,8,0.0266666666667,106495,newest爆料
1946818241,1095,75,0.0684931506849,144387,空---色
2315918270,26,2,0.0769230769231,126936,冰藝香港珠寶有限公司
2013929780,1015,352,0.346798029557,129923,vmd的困惑
1745494982,571,10,0.0175131348511,120787,千叶珠宝栗晓光
1594500214,29,2,0.0689655172414,104652,邓林鑫
1711942205,322,52,0.16149068323,104569,周美E
666237,89,148,1.66292134831,151527,天天玩心跳
1661612341,792,13,0.0164141414141,142641,死也要做美女
2634695041,396,36,0.0909090909091,149066,百货购
2668253130,1095,426,0.38904109589,100313,闺蜜那点儿事
2035748833,109,0,0.0,208514,家居全球
2685035413,2,0,0.0,102846,深宫金钗
1079448135,1069,886,0.828811973807,137089,文武艺术亚洲
2299162031,1098,661,0.602003642987,947490,环球潮流热门
2315945123,1000,105,0.105,101992,凯达琳
2248837190,393,67,0.17048346056,113704,优汇实业
2584384072,1098,192,0.174863387978,127504,经典-爱搜罗
2519494294,383,58,0.151436031332,121019,铭飞文化传播有限公司
2299173311,1000,502,0.502,131868,财经投资资讯
2215289020,1098,13,0.011839708561,120027,dark_Ww
1862968155,1097,74,0.0674567000912,110970,HipHop个性阳仔
2466949032,1096,153,0.139598540146,102588,回音无限
2466949085,1096,128,0.116788321168,114724,天秤座999封情书
1946855392,1099,442,0.402183803458,110068,生活小窍门A
2131405841,1048,1037,0.989503816794,131537,孙长春2011
2097851573,165,2,0.0121212121212,112737,媛宝726
1946858384,693,67,0.0966810966811,179982,养宠学堂
1695206052,1000,294,0.294,105430,优时代文化公司
2064308063,1067,14,0.0131208997188,125413,歐美时尚2012
2198541227,395,41,0.103797468354,309126,精彩心情
1526849012,1097,168,0.153144940747,399984,炫彩车族
1611347025,1098,10,0.00910746812386,102480,FantasyClub_依泽Yizon
2593876421,1099,27,0.024567788899,122250,聚美新品
1863008892,1000,140,0.14,308222,白小雷XX
2315997932,832,284,0.341346153846,204995,酷炫汽车
2131452054,329,11,0.0334346504559,123009,90后生囝
1661690134,1000,305,0.305,104953,武汉大杂烩
1728807917,1099,225,0.204731574158,211830,东方花园论坛
1896587297,680,172,0.252941176471,108531,北影赛美儿形象设计摄影艺术学校
1426826555,1099,95,0.0864422202002,103481,黄玉柱-海洋
2114694042,249,14,0.0562248995984,139091,栗誓超
2200738992,355,20,0.056338028169,102980,废物大变身
2685124260,642,124,0.193146417445,140815,情感交流群
2483800760,120,4,0.0333333333333,145714,45折返现网
1661721387,1099,50,0.0454959053685,100123,分享西宁新鲜事
2517359610,1098,111,0.101092896175,187140,最贴心的美容秘籍
1661723171,1000,323,0.323,100157,红红的美人脸h
2014045500,1000,189,0.189,145453,深圳大杂烩
1661729133,1090,37,0.0339449541284,116252,运动瘦身美容
2618031717,71,29,0.408450704225,100857,享利宝网
2517371731,1000,240,0.24,182391,乐器也疯狂2012
1846284022,68,1,0.0147058823529,103072,一直很台湾这样子
2668368700,781,82,0.104993597951,247046,创意数码IT
1216482275,583,166,0.284734133791,101509,蔚腾飞
1728870513,598,34,0.056856187291,109743,刘泽广
2483851100,1098,382,0.347905282332,109655,珠三角兼职全职
2316084215,1100,62,0.0563636363636,421747,时尚秋水
1812773190,1061,85,0.0801131008483,230509,星座丶爱情丶密码
2603403984,1020,171,0.167647058824,116693,美容窝
2534199612,1032,491,0.475775193798,103263,IHOP-伊霍珀咨询
2517429182,770,523,0.679220779221,125186,程祥十
2584538050,16,0,0.0,104431,学做成功女人
1930229253,470,34,0.0723404255319,113725,经纪人-李天稳
2282551553,1000,243,0.243,103430,人生启迪A
2550987102,674,74,0.109792284866,109007,时尚月含烟
2681701491,1000,207,0.207,197063,摩羯座蜜言
2632427980,1000,77,0.077,117503,环球潮流风尚榜
1728914652,714,15,0.0210084033613,159690,IV_AN-Ran
2172793375,945,43,0.0455026455026,630755,不吵不闹不炫耀只有微笑
